geography_code,geography_name,cancer_code,cancer_label_en,cancer_label_pl,measure,year,standard_population,female,male,male_minus_female,male_female_ratio,source_id,source_version
POL,Poland,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,mortality,2024,World standard population,1.75,4.0,2.25,2.2857142857142856,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",incidence,2024,World standard population,24.14,52.52,28.380000000000003,2.175642087821044,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",mortality,2024,World standard population,18.62,42.81,24.19,2.299140708915145,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,MELANOMA,Melanoma of skin,Czerniak skóry,incidence,2024,World standard population,4.25,4.87,0.6200000000000001,1.1458823529411766,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,MELANOMA,Melanoma of skin,Czerniak skóry,mortality,2024,World standard population,1.31,2.33,1.02,1.7786259541984732,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,MESOTHELIOMA,Mesothelioma,Międzybłoniak,incidence,2024,World standard population,0.31,0.77,0.46,2.4838709677419355,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,MESOTHELIOMA,Mesothelioma,Międzybłoniak,mortality,2024,World standard population,0.25,0.6,0.35,2.4,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,MYELOMA,Multiple myeloma,Szpiczak mnogi,incidence,2024,World standard population,2.52,3.05,0.5299999999999998,1.2103174603174602,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,MYELOMA,Multiple myeloma,Szpiczak mnogi,mortality,2024,World standard population,1.38,1.9,0.52,1.3768115942028987,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,NASOPHARYNX,Nasopharynx,Część nosowa gardła,incidence,2024,World standard population,0.16,0.53,0.37,3.3125,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,NASOPHARYNX,Nasopharynx,Część nosowa gardła,mortality,2024,World standard population,0.1,0.33,0.23,3.3,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,incidence,2024,World standard population,4.61,7.24,2.63,1.5704989154013014,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,mortality,2024,World standard population,1.58,2.89,1.31,1.8291139240506329,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,OESOPHAGUS,Oesophagus,Przełyk,incidence,2024,World standard population,0.85,4.6,3.7499999999999996,5.411764705882352,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,OESOPHAGUS,Oesophagus,Przełyk,mortality,2024,World standard population,0.8,4.17,3.37,5.2124999999999995,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,OROPHARYNX,Oropharynx,Część ustna gardła,incidence,2024,World standard population,0.91,3.13,2.2199999999999998,3.4395604395604393,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,OROPHARYNX,Oropharynx,Część ustna gardła,mortality,2024,World standard population,0.41,2.14,1.7300000000000002,5.219512195121951,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,OTHER,Other specified cancers,Inne określone nowotwory,incidence,2024,World standard population,11.35,17.77,6.42,1.5656387665198237,iarc_globocan_2024,GLOBOCAN 2024
